Timestamp,Button,State
2026-04-07 15:20:51.243063,GPIO 20,pressed
2026-04-07 15:20:51.586859,GPIO 20,released
2026-04-07 15:20:51.800420,GPIO 21,pressed
2026-04-07 15:20:52.244800,GPIO 21,released
2026-04-07 15:20:52.467093,GPIO 21,pressed
2026-04-07 15:20:52.840776,GPIO 21,released
2026-04-07 15:20:53.103377,GPIO 20,pressed
2026-04-07 15:20:53.113565,GPIO 21,pressed
2026-04-07 15:20:53.701363,GPIO 20,released
2026-04-07 15:20:53.853447,GPIO 20,pressed
2026-04-07 15:20:53.975294,GPIO 20,released
2026-04-07 15:20:54.056651,GPIO 20,pressed
2026-04-07 15:20:54.188466,GPIO 20,released
2026-04-07 15:20:54.239463,GPIO 21,released
